中文名,外文名,软科排名,985,211,双一流
太原理工大学,Taiyuan University of Technology,97,否,是,是
南京信息工程大学,Nanjing University of Information Science & Technology,98,否,否,是
广州中医药大学,Guangzhou University of Chinese Medicine,中医4,否,否,是
杭州电子科技大学,Hangzhou Dianzi University,99,否,否,否
首都师范大学,Capital Normal University,100,否,否,是
安徽大学,Anhui University,101,否,是,是
江西财经大学,Jiangxi University of Finance & Economics,财7,否,否,否
浙江工商大学,Zhejiang Gongshang University,财8,否,否,否
山西大学,Shanxi University,102,否,否,是
西交利物浦大学,Xi'an Jiaotong-Liverpool University,合作5,否,否,否
华南农业大学,South China Agricultural University,103,否,否,是
山东师范大学,Shandong Normal University,104,否,否,否
广州大学,Guangzhou University,105,否,否,否
外交学院,China Foreign Affairs University,语4,否,否,是
上海理工大学,University of Shanghai for Science and Technology,106,否,否,否
河北工业大学,Hebei University of Technology,107,否,是,是
青岛大学,Qingdao University,108,否,否,否
深圳北理莫斯科大学,Shenzhen MSU-BIT University,合作6,否,否,否
燕山大学,Yanshan University,109,否,否,否
河北医科大学,Hebei Medical University,医12,否,否,否
昆明理工大学,Kunming University of Science and Technology,110,否,否,否
西安理工大学,Xi'an University of Technology,111,否,否,否
浙江理工大学,Zhejiang Sci-Tech University,112,否,否,否
大连医科大学,Dalian Medical University,医13,否,否,否
大连海事大学,Dalian Maritime University,113,否,是,是
首都经济贸易大学,Capital University of Economics & Business,财9,否,否,否
内蒙古大学,Inner Mongolia University,114,否,是,是
东北林业大学,Northeast Forestry University,115,否,是,是
杭州师范大学,Hangzhou Normal University,116,否,否,否
湘潭大学,Xiangtan University,117,否,否,是
西安建筑科技大学,Xi'an University of Architecture and Technology,118,否,否,否
西南石油大学,Southwest Petroleum University,119,否,否,是
北京语言大学,Beijing Language and Culture University,语5,否,否,否
华东政法大学,East China University of Political Science and Law,政2,否,否,否
东北农业大学,Northeast Agricultural University,120,否,是,是
天津中医药大学,Tianjin University of Traditional Chinese Medicine,中医5,否,否,是
湖北大学,Hubei University,121,否,否,否
成都中医药大学,Chengdu University of Traditional Chinese Medicine,中医6,否,否,是
福建农林大学,Fujian Agriculture and Forestry University,122,否,否,否
上海师范大学,Shanghai Normal University,123,否,否,否
武汉科技大学,Wuhan University of Science and Technology,123,否,否,否
安徽医科大学,Anhui Medical University,医14,否,否,否
西南政法大学,Southwest University of Political Science & Law,政3,否,否,否
辽宁大学,Liaoning University,125,否,是,是
江西师范大学,Jiangxi Normal University,126,否,否,否
福建医科大学,Fujian Medical University,医15,否,否,否
成都理工大学,Chengdu University of Technology,127,否,否,是
浙江中医药大学,Zhejiang Chinese Medical University,中医7,否,否,否
山东农业大学,Shandong Agricultural University,128,否,否,否
温州大学,Wenzhou University,129,否,否,否
南京财经大学,Nanjing University of Finance & Economics,财10,否,否,否
北京工商大学,Beijing Technology and Business University,财11,否,否,否
广东外语外贸大学,Guangdong University of Foreign Studies,语6,否,否,否
河北大学,Hebei University,130,否,否,否
浙江财经大学,Zhejiang University of Finance and Economics,财12,否,否,否
新疆大学,Xinjiang University,131,否,是,是
上海体育大学,Shanghai University of Sport,体1,否,否,是
陕西科技大学,Shaanxi University of Science & Technology,132,否,否,否
山西医科大学,Shanxi Medical University,医16,否,否,否
天津工业大学,Tiangong University,133,否,否,是
