中文名,外文名,软科排名,985,211,双一流
湖北民族大学,Hubei Minzu University,民13,否,否,否
湖南第一师范学院,Hunan First Normal University,346,否,否,否
江苏理工学院,Jiangsu University of Technology,347,否,否,否
上海商学院,Shanghai Business School,财39,否,否,否
北京警察学院,Beijing Police College,政18,否,否,否
江西水利电力大学,Jiangxi University of Water Resources and Electric Power,348,否,否,否
长春工程学院,Changchun Institute of Technology,349,否,否,否
盐城师范学院,Yancheng Teachers University,350,否,否,否
井冈山大学,Jinggangshan University,351,否,否,否
金陵科技学院,Jinling Institute of Technology,351,否,否,否
广东金融学院,Guangdong University of Finance,财40,否,否,否
广东警官学院,Guangdong Police College,政19,否,否,否
天津农学院,Tianjin Agricultural University,353,否,否,否
仲恺农业工程学院,Zhongkai University of Agriculture and Engineering,353,否,否,否
铜仁学院,Tongren University,355,否,否,否
杭州医学院,Hangzhou Medical College,医45,否,否,否
山东交通学院,Shandong Jiaotong University,356,否,否,否
黄冈师范学院,Huanggang Normal University,357,否,否,否
泉州师范学院,Quanzhou Normal University,357,否,否,否
河南科技学院,Henan Institute of Science and Technology,359,否,否,否
温州理工学院,Wenzhou University of Technology,360,否,否,否
西安医学院,Xi'an Medical University,医46,否,否,否
安徽科技工程大学,Anhui Science and Technology University,361,否,否,否
洛阳师范学院,Luoyang Normal University,361,否,否,否
徐州工程学院,Xuzhou University of Technology,363,否,否,否
湖北第二师范学院,Hubei University of Education,364,否,否,否
丽水学院,Lishui University,365,否,否,否
中国民用航空飞行学院,Civil Aviation Flight University of China,365,否,否,否
河北北方学院,Hebei North University,医47,否,否,否
惠州学院,Huizhou University,367,否,否,否
广州体育学院,Guangzhou Sport University,体10,否,否,否
长春大学,Changchun University,368,否,否,否
贵阳学院,Guiyang University,369,否,否,否
厦门医学院,Xiamen Medical College,医48,否,否,否
湖州学院,Huzhou College,370,否,否,否
哈尔滨体育学院,Harbin Sport University,体11,否,否,否
沈阳工程学院,Shenyang Institute of Engineering,371,否,否,否
河南警察学院,Henan Police College,政20,否,否,否
湖北科技学院,Hubei University of Science and Technology,372,否,否,否
湖北文理学院,Hubei University of Arts and Science,372,否,否,否
黔南民族师范学院,Qiannan Normal University for Nationalities,372,否,否,否
广西财经学院,Guangxi University of Finance and Economics,财41,否,否,否
内蒙古科技大学包头医学院,Baotou Medical College,医49,否,否,否
郑州警察学院,Zhengzhou Police University,政21,否,否,否
防灾科技学院,Institute of Disaster Prevention,375,否,否,否
广东石油化工学院,Guangdong University of Petrochemical Technology,376,否,否,否
洛阳理工学院,Luoyang Institute of Science and Technology,377,否,否,否
遵义师范学院,Zunyi Normal University,378,否,否,否
衢州学院,Quzhou University,379,否,否,否
重庆三峡科技大学,Chongqing Three Gorges University,380,否,否,否
齐齐哈尔大学,Qiqihar University,381,否,否,否
三明学院,Sanming University,381,否,否,否
牡丹江医科大学,Mudanjiang Medical University,医50,否,否,否
齐齐哈尔医学院,Qiqihar Medical University,医50,否,否,否
右江民族医学院,Youjiang Medical University for Nationalities,医50,否,否,否
太原师范学院,Taiyuan Normal University,383,否,否,否
山东政法学院,Shandong University of Political Science and Law,政22,否,否,否
阜阳师范大学,Fuyang Normal University,384,否,否,否
北华航天工业学院,North China Institute of Aerospace Engineering,385,否,否,否
绵阳师范学院,Mianyang Teachers' College,386,否,否,否
佳木斯大学,Jiamusi University,387,否,否,否
成都医学院,Chengdu Medical College,医53,否,否,否
成都师范学院,Chengdu Normal University,388,否,否,否
云南警官学院,Yunnan Police College,政23,否,否,否
昆明学院,Kunming University,389,否,否,否
周口师范学院,Zhoukou Normal University,389,否,否,否
福建警察学院,Fujian Police College,政24,否,否,否
岭南师范学院,Lingnan Normal University,391,否,否,否
莆田学院,Putian University,391,否,否,否
福建江夏学院,Fujian Jiangxia University,财42,否,否,否
德州学院,Dezhou University,393,否,否,否
黑龙江科技大学,Heilongjiang University of Science and Technology,394,否,否,否
攀枝花学院,Panzhihua University,394,否,否,否
山东航空学院,Shandong University of Aeronautics,394,否,否,否
浙江水利水电学院,Zhejiang University of Water Resources and Electric Power,394,否,否,否
龙岩学院,Longyan University,398,否,否,否
西藏农牧大学,Xizang Agricultural and Animal Husbandry University,398,否,否,否
