中文名,外文名,软科排名,独立学院,民办高校
广西交通职业技术学院,Guangxi Vocational And Technical College Of Communications,,否,否
广西金融职业技术学院,Guangxi Financial Vocational College,,否,否
广西经济职业学院,Guangxi Economic Vocational College,,否,是
广西经贸职业技术学院,Guangxi Economic And Trade Vocational Institute,,否,否
广西警察学院,Guangxi Police College,,否,否
广西科技师范学院,Guangxi Science & Technology Normal University,,否,否
广西科技职业学院,Guangxi Vocational University Of Science & Technology,,否,是
广西蓝天航空职业学院,Guangxi Lantian Aviation Technical College,,否,是
广西理工职业技术学院,Guangxi Polytechnic Vocational School Of Technology,,否,是
广西民族大学相思湖学院,Xiangsihu College of GuangXi Minzu University,,是,否
广西民族师范学院,Guangxi Minzu Normal University,,否,否
广西农业工程职业技术学院,Guangxi Agricultural Engineering Vocational Technical College,,否,否
广西农业职业技术大学,Guangxi Vocational University of Agriculture,,否,否
广西培贤国际职业学院,Guangxi Peixian International College,,否,是
广西生态工程职业技术学院,Guangxi Eco-Engineering Vocational And Technical College,,否,否
广西水利电力职业技术学院,Guangxi College Of Water Resources And Electric Power,,否,否
广西体育高等专科学校,Guangxi College Of Physical Education,,否,否
广西外国语学院,Guangxi University of Foreign Languages,,否,是
广西卫生职业技术学院,Guangxi Medical College,,否,否
广西物流职业技术学院,Guangxi Logistics Vocational And Technical College,,否,否
广西现代职业技术学院,Guangxi Modern Polytechnic College,,否,否
广西信息职业技术学院,Guangxi University Of Information Engineering,,否,否
广西演艺职业学院,Guangxi Vocational College Of Performing Arts,,否,是
广西艺术学院,Guangxi Arts University,,否,否
广西英华国际职业学院,Guangxi Talent International College,,否,是
广西幼儿师范高等专科学校,Guangxi College For Preschool Education,,否,否
广西职业技术大学,Guangxi Polytechnic University,,否,否
广西职业师范学院,Guangxi Vocational Normal University,,否,否
广西制造工程职业技术学院,Guangxi Vocational & Technical College Of Manufacturing And Engineering,,否,否
广西质量工程职业技术学院,Guangxi Vocational and Technical College of Quality and Engineering,,否,否
广西智能制造职业技术学院,Guangxi Vocational and Technical College of Intelligent Manufacturing,,否,否
广西中医药大学赛恩斯新医药学院,Faculty of Chinese Medicine Science Guangxi university of Chinese medicine,,是,否
广西中远职业学院,Guangxi COSCO Vocational College,,否,是
广西自然资源职业技术学院,Guangxi Natural Resources Vocational And Technical College,,否,否
广元中核职业技术学院,Guangyuan China Nuclear Vocational And Technical College,,否,是
广州城建职业学院,Guangzhou City Construction College,,否,是
广州城市理工学院,Guangzhou City University of Technology,,否,是
广州城市职业学院,Guangzhou City Polytechnic,,否,否
广州东华职业学院,Guangzhou Donghua Vocation College,,否,是
广州工程技术职业学院,Guangzhou Institute Of Technology,,否,否
广州工商学院,Guangzhou College of Technology and Business,,否,是
广州航海学院,Guangzhou Maritime University,,否,否
广州华立科技职业学院,Guangzhou Huali Science And Technology Vocational College,,否,是
广州华立学院,Guangzhou Huali College,,否,是
广州华南商贸职业学院,Guangzhou Huanan Business College,,否,是
广州华商学院,Guangzhou Huashang College,,否,是
广州华商职业学院,Guangzhou Huashang Vocational College,,否,是
广州华夏职业学院,Guangzhou Huaxia Vocational College,,否,是
广州康大职业技术学院,Guangzhou Kangda Vocational Technical College,,否,是
广州科技贸易职业学院,Guangzhou Vocational College Of Technology & Business,,否,否
广州科技职业技术大学,Guangzhou Vocational University of Science and Technology,,否,是
广州理工学院,Guangzhou Institute of Science and Technology,,否,是
广州美术学院,Guangzhou Academy of Fine Arts,,否,否
广州民航职业技术学院,Guangzhou Civil Aviation College,,否,否
广州南方学院,"Nanfang College, Guangzhou",,否,是
广州南洋理工职业学院,Guangzhou Nanyang Polytechnic College,,否,是
广州软件学院,Software Engineering Institute of Guangzhou,,否,是
广州商学院,Guangzhou College of Commerce,,否,是
广州涉外经济职业技术学院,Guangzhou International Economics College,,否,是
广州松田职业学院,Guangzhou Sontan Polytechnic College,,否,是
广州体育职业技术学院,Guangzhou Sports Polytechnic,,否,否
广州铁路职业技术学院,Guangzhou Railway Polytechnic,,否,否
广州卫生职业技术学院,Guangzhou Health Science College,,否,否
广州现代信息工程职业技术学院,Guangzhou Modern Information Engineering College,,否,是
广州新华学院,Guangzhou Xinhua University,,否,是
广州应用科技学院,Guangzhou College of Applied Science and Technology,,否,是
广州幼儿师范高等专科学校,Guangzhou Preschool Teachers College,,否,否
广州职业技术大学,Guangzhou Polytechnic University,,否,否
广州珠江职业技术学院,Guangzhou Pearl-River Vocational College Of Technology,,否,是
硅湖职业技术学院,Silicon Lake College,,否,是
贵阳康养职业大学,Guiyang Kangyang University,,否,否
贵阳人文科技学院,Guiyang Institute of Humanities and Technology,,否,是
贵阳信息科技学院,Guiyang Institute of Information Science and Technology,,否,是
贵阳幼儿师范高等专科学校,Guiyang Preschool Educatlon College,,否,否
贵阳职业技术学院,Guiyang Vocational And Technical College,,否,否
贵州财经职业学院,Guizhou Vocational College Of Finance And Economics,,否,否
贵州城市职业学院,Guizhou City Vocational College,,否,是
贵州传媒职业学院,Guizhou Vocational College of Media and Communication,,否,否
贵州电力职业技术学院,Guizhou Electric Power Vocational And Technical College,,否,否
贵州电子科技职业学院,Guizhou Electronic Technology College,,否,否
贵州电子商务职业技术学院,Guizhou Electronic Commerce Vocational College,,否,否
贵州电子信息职业技术学院,Guizhou Vocational Technology College Of Electronics & Information,,否,否
贵州工程应用技术学院,Guizhou University of Engineering Science,,否,否
贵州工程职业学院,Guizhou Engineering Vocational College,,否,是
贵州工贸职业学院,Guizhou Vocational College Of Industry And Trade,,否,是
贵州工商职业大学,Guizhou Vocational University of Indestry & Commerce,,否,是
贵州工业职业技术大学,Guizhou Industry Polytechnic University,,否,否
贵州航空职业技术学院,Guizhou Aviation Vocational And Technical College,,否,否
贵州航天职业技术学院,Guizhou Aerospace Vocational And Technical College,,否,否
贵州护理职业技术学院,Guizhou Nursing Vocational College,,否,否
贵州机电职业技术学院,Guizhou Technological College Of Machinery And Electricity,,否,否
贵州建设职业技术学院,Guizhou Polytechnic Of Construction,,否,否
贵州健康职业学院,Guzhou College Of Health Prodessions,,否,否
贵州交通职业大学,Guizhou Communications Polytechnic University,,否,否
贵州经贸职业技术学院,Guizhou Vocational And Technical College Of Economics And Trade,,否,否
贵州警察学院,Guizhou Police College,,否,否
贵州理工学院,Guizhou Institute of Technology,,否,否
贵州民用航空职业学院,Guizhou Civil Aviation Vocational College,,否,是
贵州农业职业学院,Guizhou Vocational College Of Agriculture,,否,否
贵州黔南经济学院,Guizhou Qiannan Economic College,,否,是
贵州黔南科技学院,Guizhou Qiannan College of Science and Technology,,否,是
贵州轻工职业大学,Guizhou Light Industry Polytechnic University,,否,否
贵州商学院,Guizhou University of Commerce,,否,否
贵州生态能源职业学院,Guizhou Ecological Energy Vocational College,,否,否
贵州盛华职业学院,Guizhou Forerunner College,,否,是
贵州食品工程职业学院,Guizhou Vocational College Of Foodstuff Engineering,,否,否
贵州水利水电职业技术学院,Guizhou Vocational And Technical College Of Water Resources And Hydropower,,否,否
贵州体育职业学院,Guizhou Vocational College of Sports,,否,否
贵州铜仁数据职业学院,Guizhou Tongren Data Vocational College,,否,是
贵州文化旅游职业学院,Guizhou Vocational College Of Culture And Tourism,,否,否
贵州医科大学神奇民族医药学院,ShenQi Ethnic Medicine College of Guizhou Medical University,,是,否
贵州应用技术职业学院,Guizhou Vocational Institute Of Technology,,否,是
贵州职业技术学院,Guizhou Vocational Technology Institute,,否,否
贵州中医药大学时珍学院,Shizhen College of Guizhou University of Traditional Chinese Medicine,,是,否
贵州装备制造职业学院,Guizhou Equipment Manufacturing Vocational College,,否,否
桂林航天工业学院,Guilin University of Aerospace Technology,,否,否
桂林旅游学院,Guilin Tourism University,,否,否
桂林山水职业学院,Guilin Shanshui Vocational College,,否,是
桂林生命与健康职业技术学院,Guilin Life And Health Career Technical College,,否,是
桂林师范学院,Guilin Normal University,,否,否
桂林信息工程职业学院,Guilin Vocational College of Information Engineering,,否,是
桂林信息科技学院,Guilin Institute of Information Technology,,否,是
桂林学院,Guilin University,,否,是
哈尔滨北方航空职业技术学院,Harbin Northern Vocational Institute Of Aviation,,否,是
哈尔滨城市职业学院,Harbin City Vocational College,,否,是
哈尔滨传媒职业学院,Media Professional College Of Harbin,,否,是
哈尔滨电力职业技术学院,Harbin Electric Power Vocational Technology College,,否,否
哈尔滨广厦学院,Harbin Guangsha College,,否,是
哈尔滨华德学院,Harbin Huade University,,否,是
哈尔滨建筑科技职业大学,Harbin Vocational University of Construction Technology,,否,否
哈尔滨剑桥学院,Harbin Cambridge University,,否,是
哈尔滨金融学院,Harbin Finance University,,否,否
哈尔滨科学技术职业学院,Harbin Vocational College Of Science And Technology,,否,否
哈尔滨商贸职业学院,Harbin Commerce and Trade Vocational College,,否,是
哈尔滨石油学院,Harbin Institute of Petroleum,,否,是
哈尔滨铁道职业技术学院,Harbin Railway Technical College,,否,否
哈尔滨信息工程学院,Harbin Institute of Information Technology,,否,是
哈尔滨学院,Harbin University,,否,否
哈尔滨音乐学院,Harbin Conservatory of Music,,否,否
哈尔滨应用职业技术学院,Harbin Applied Vocational And Technical College,,否,是
哈尔滨幼儿师范高等专科学校,Harbin Preschool Teachers College,,否,否
哈尔滨远东理工学院,Harbin Far East Institute of Technology,,否,是
哈尔滨职业技术大学,Harbin Vocational and Technical University,,否,否
哈密职业技术学院,Hami Polytechnic,,否,否
海口经济学院,Haikou University of economics,,否,是
海口旅游职业学院,Haikou Tourism College,,否,否
海南比勒费尔德应用科学大学,Hainan Bielefeld University of Applied Sciences,,否,否
海南东方新丝路职业学院,Hainan Dongfang New Silk Road College,,否,是
海南工商职业学院,Hainan Technology And Business College,,否,是
海南健康管理职业技术学院,Hainan Health Management College,,否,是
海南经贸职业大学,Hainan College of Economics and Business,,否,否
海南警察学院,Hainan Police College,,否,否
海南科技职业大学,Hainan Vocational University of Science and Technology,,否,是
海南洛桑旅游大学,Hainan Lausanne Tourism University,,否,否
海南热带海洋学院,Hainan Tropical Ocean University,,否,否
海南软件职业技术学院,Hainan College Of Software Technology,,否,否
海南体育职业技术学院,Hainan Provinclal Sports Academy,,否,否
海南外国语职业学院,Hainan College Of Foreign Studies,,否,否
海南卫生健康职业学院,Hainan Health Vocational College,,否,否
海南艺术职业学院,Hainan Vocational Institute of Art,,否,否
海南政法职业学院,Hainan Vocational College Of Political Science And Law,,否,否
海南职业技术学院,Hainan College Of Vocation And Technique,,否,否
邯郸科技职业学院,Handan Vocational College Of Science And Technology,,否,否
邯郸学院,Handan University,,否,否
邯郸应用技术职业学院,Handan Vocational College of Applied Technology,,否,是
邯郸幼儿师范高等专科学校,Handan Preschool Teachers College,,否,否
邯郸职业技术学院,Handan Polytechnic College,,否,否
韩山师范学院,Hanshan Normal University,,否,否
汉江师范学院,Hanjiang Normal University,,否,否
汉口学院,Hankou University,,否,是
汉中职业技术学院,Hanzhong Vocational And Technical College,,否,否
杭州电子科技大学信息工程学院,Hangzhou Dianzi University Information Engineering School,,是,否
杭州科技职业技术学院,Hangzhou Polytechnic,,否,否
杭州师范大学钱江学院,Hangzhou Normal University Qianjiang College,,是,否
杭州万向职业技术学院,Hangzhou Wanxiang Polytechnic,,否,是
杭州职业技术大学,Hangzhou Polytechnic University,,否,否
合肥城市学院,HeFei City College,,否,是
合肥共达职业技术学院,Hefei Gongda Vocational And Technical College,,否,是
合肥经济学院,Hefei University of Economics,,否,是
合肥科技职业学院,Hefei Science And Technology College,,否,是
合肥理工学院,Hefei Institute of Technology,,否,否
合肥师范学院,Hefei Normal University,,否,否
合肥通用职业技术学院,Hefei Institute Of General Professional Technology,,否,否
合肥信息技术职业学院,Hefei Information Technology University,,否,是
合肥幼儿师范高等专科学校,Hefei Preschool Education College,,否,否
合肥职业技术学院,Hefei Technology College,,否,否
和君职业学院,Hejun College,,否,是
和田职业技术学院,Hetian Polytechnic,,否,否
河北传媒学院,Hebei Institute of Communications,,否,是
河北大学工商学院,"Industrial and Commercial College, Hebei University",,是,否
河北地质大学华信学院,Huaxin College of Hebei Geo University,,是,否
河北东方学院,Hebei Oriental University,,否,是
河北对外经贸职业学院,Hebei Institute Of International Business And Economics,,否,否
河北工程大学科信学院,"Kexin college, Hebei University of Engineering",,是,否
河北工程技术学院,Hebei University of Engineering Science,,否,是
河北工业职业技术大学,Hebei Vocational University of Industry and Technology,,否,否
河北工艺美术职业学院,Hebei Art&Design Academy,,否,否
河北公安警察职业学院,Hebei Public Security Police Vocational College,,否,否
河北轨道运输职业技术学院,Hebei Vocational College Of Rail Transportation,,否,否
河北化工医药职业技术学院,Hebei Chemical & Pharmaceutical College,,否,否
河北环境工程学院,Hebei University of Environmental Engineering,,否,否
河北机电职业技术学院,Hebei Institute Of Mechanical And Electroninc Technology,,否,否
河北建材职业技术学院,Hebei Polytechnic Of Building Materials,,否,否
河北建筑工程学院,Hebei University of Architecture,,否,否
河北交通职业技术学院,Hebei Jiaotong Vocational And Technical College,,否,否
河北金融学院,Hebei Finance University,,否,否
河北经贸大学经济管理学院,College of Economics & Management Hebei University of Economics & Business,,是,否
河北科技工程职业技术大学,Hebei Vocational University of Technology And Engineering,,否,否
河北科技师范学院,Hebei Normal University of Science and Technology,,否,否
河北科技学院,Hebei College of Science and Technology,,否,是
河北劳动关系职业学院,Hebei Vocational College Of Labour Relations,,否,否
河北旅游职业学院,Hebei Tourism College,,否,否
河北美术学院,Hebei Academy of Fine Arts,,否,是
河北民族师范学院,Hebei Minzu Normal University,,否,否
河北能源职业技术学院,Hebei Energy College Of Vocation And Technology,,否,否
河北农业大学现代科技学院,College of Modern Science and Technology Hebei Agricultural University,,是,否
河北女子职业技术学院,Hebei Women's Vocational College,,否,否
河北软件职业技术学院,Hebei Software Institute,,否,否
河北师范大学汇华学院,Huihua College of Hebei Normal University,,是,否
河北石油职业技术大学,Hebei Petroleum University of Technology,,否,否
河北石油职业技术学院,Hebei Technical College Of Petroleum Profession,,否,否
河北水利电力学院,Hebei University of Water Resources and Electric Engineering,,否,否
河北司法警官职业学院,Hebei Vocational College For Correctional Police,,否,否
河北体育学院,Hebei Sport University,,否,否
河北外国语学院,Hebei International Studies University,,否,是
河北医科大学临床学院,Clinical College of Hebei Medical University,,是,否
河北艺术职业学院,Hebei Vocational Art College,,否,否
河北正定师范高等专科学校,Zhengding Advanced Normal College Of Hebei,,否,否
河北政法职业学院,Hebei Vocational College Of Politics And Law,,否,否
河北资源环境职业技术学院,Hebei Vocational and Technical College of Resources and Environment,,否,否
河池学院,Hechi University,,否,否
河南财政金融学院,Henan Finance University,,否,否
河南测绘职业学院,Henan College Of Surveying And Mapping,,否,否
河南城建学院,Henan University of Urban Construction,,否,否
河南地矿职业学院,Henan Geology Mineral College,,否,否
河南对外经济贸易职业学院,Henan Institute Of Foreign Economic Relations And Trade,,否,否
河南工程学院,Henan University Of Engineering,,否,否
河南工学院,Henan Institute of Technology,,否,否
河南工业和信息化职业学院,Henan College Of Industry&Information Technology,,否,否
河南工业贸易职业学院,Henan Industry And Trade Vocational College,,否,否
河南工业职业技术大学,Henan University of Industry Technology,,否,否
河南护理职业学院,Henan Vocational College Of Nursing,,否,否
河南机电职业学院,Henan Mechanical And Electrical Vocational College,,否,否
河南检察职业学院,The College Of Henan Procuratorial Profession,,否,否
河南建筑职业技术学院,Henan Technical College Of Construction,,否,否
河南交通职业技术学院,Henan College Of Transportation,,否,否
河南经贸职业学院,Henan Institute Of Economics And Trade,,否,否
河南开封科技传媒学院,Henan Kaifeng College of Science Technology and Communication,,否,是
河南科技职业大学,Henan Vocational University of Science and Technology,,否,是
河南林业职业学院,Henan Forestry Vocational College,,否,否
河南牧业经济学院,Henan University of Animal Husbandry and Economy,,否,否
河南农业职业学院,Henan Vocational College Of Agriculture,,否,否
河南女子职业学院,Henan Women's Vocational College,,否,否
河南轻工职业学院,Henan Light Industry Vocational College,,否,否
河南水利与环境职业学院,Henan Vocational College Of Water Conservancy And Environment,,否,否
河南司法警官职业学院,Henan Justice Police Vocational College,,否,否
河南体育学院,Henan Sport University,,否,否
河南推拿职业学院,Henan Vocational College Of Tuina,,否,否
河南物流职业学院,Henan Logistics Vocational College,,否,否
河南新乡工商职业学院,Henan Xinxiang Vocational College of Industry and Commerce,,否,是
河南信息科技学院,,,否,否
河南信息统计职业学院,Henan Vocational College Of Information And Statistics,,否,否
河南医学高等专科学校,Henan Medical College,,否,否
河南艺术职业学院,Henan Vocational Institute Of Arts,,否,否
河南应用技术职业学院,Henan Vocational College Of Applied Technology,,否,否
河南职业技术学院,Henan Vocational & Technical College,,否,否
河南质量工程职业学院,Henan Quality Polytechnic,,否,否
河套学院,Hetao college,,否,否
河西学院,Hexi University,,否,否
河源职业技术学院,Heyuan Polytechnic,,否,否
菏泽家政职业学院,Heze Jia Zheng Vocational College,,否,否
菏泽生物医药职业学院,Heze Biomedicine Vocational College,,否,是
菏泽学院,Heze University,,否,否
菏泽医学专科学校,Heze Medical College,,否,否
菏泽职业学院,Heze Vocational College,,否,否
贺州学院,Hezhou University,,否,否
鹤壁能源化工职业学院,Hebi Vocational College Of Energy And Chemistry,,否,否
鹤壁汽车工程职业学院,Hebi Automobile Engineering Professional College,,否,是
鹤壁职业技术学院,Hebi Polytechnic,,否,否
鹤岗师范高等专科学校,Hegang Teachers College,,否,否
黑河学院,Heihe University,,否,否
黑龙江冰雪体育职业学院,Heilongjiang Vocational College Of Winter Sport,,否,否
黑龙江财经学院,Heilongjiang University of Finance and Economic,,否,是
黑龙江东方学院,East University of Heilongjiang,,否,是
黑龙江工程学院,Heilongjiang Institute of Technology,,否,否
黑龙江工程学院昆仑旅游学院,"Kunlun Tourism College, Heilongjiang University of Engineering",,是,否
黑龙江工商学院,Heilongjiang University of Business and Technology,,否,是
黑龙江工业学院,Heilongjiang University of Technology,,否,否
黑龙江公安警官职业学院,Heilongjiang Police College,,否,否
黑龙江护理高等专科学校,Heilongjiang Nursing College,,否,否
黑龙江交通职业技术学院,Heilongjiang Communications Polytechnic,,否,否
黑龙江林业职业技术学院,Heilongjiang Forestry Vocational-Technical College,,否,否
黑龙江旅游职业技术学院,Heilongjiang Vocational College Of Tourism,,否,否
黑龙江民族职业学院,Heilongjiang Vocational College For Nationalities,,否,否
黑龙江能源职业学院,Heilongjiang Energy Career Academy,,否,否
黑龙江农垦职业学院,Heilongjiang Agricultural Reclamation Vocational College，Arvc,,否,否
黑龙江农业工程职业技术大学,Heilongjiang Agricultural Engineering Vocational and Technical University,,否,否
黑龙江农业经济职业学院,Heilongjiang Agricultural Economyvocational College,,否,否
黑龙江农业职业技术学院,Heilongjiang Vocational College Of Agricultural And Technology,,否,否
黑龙江三江美术职业学院,Heilongjiang Sanjiang Vocational College Of Fine Arts,,否,是
黑龙江商业职业学院,Heilongjiang Vocational College Of Commerce,,否,否
黑龙江生态工程职业学院,Heilongjiang Vocational Institute Ecological Engineering,,否,否
黑龙江司法警官职业学院,The Professional Judicial Police College Of Heilongjiang,,否,否
黑龙江外国语学院,Heilongjiang International University,,否,是
黑龙江艺术职业学院,Heilongjiang Vocational College Of Art,,否,否
黑龙江幼儿师范高等专科学校,Heilongjiang Preschool Education College,,否,否
黑龙江职业学院,Heilongjiang Polytechnic,,否,否
衡水健康科技职业学院,Hengshui Health Technology Vocational College,,否,否
衡水学院,Hengshui University,,否,否
衡水职业技术学院,Hengshui College Of Vocational And Technology,,否,否
衡阳科技职业学院,Hengyang Vocationa College of Science and Technology,,否,是
衡阳理工职业学院,Hengyang Polytechnic Vocational College,,否,是
衡阳师范学院,Hengyang Normal University,,否,否
衡阳师范学院南岳学院,Nanyue College of Hengyang Normal University,,是,否
衡阳幼儿师范高等专科学校,Hengyang Preschool Normal College,,否,否
红河卫生职业学院,Honghe Health Vocational College,,否,否
红河学院,Honghe University,,否,否
红河职业技术学院,Honghe Vocational And Technical College,,否,否
呼和浩特民族学院,Hohhot Minzu College,,否,否
呼和浩特职业技术大学,Hohhot Polytechnic University,,否,否
呼伦贝尔学院,Hulunbuir University,,否,否
呼伦贝尔职业技术学院,Hulunbuir Vocational Technical College,,否,否
湖北财税职业学院,Hubei Finace & Taxation College,,否,否
湖北城市建设职业技术学院,Hubei Urban Construction Vocational And Technological College,,否,否
湖北大学知行学院,Zhixing College of Hubei University,,是,否
湖北恩施学院,Hubei Enshi College,,否,是
湖北工程学院,Hubei Engineering University,,否,否
湖北工程学院新技术学院,"College of Technology, Hubei Engineering University",,是,否
湖北工程职业学院,Hubei Engineering Institute,,否,否
湖北工业大学工程技术学院,Hubei University of Technology Engineering and Technology College,,是,否
湖北工业职业技术学院,Hubei Industrial Polytechnic,,否,否
湖北国土资源职业学院,Hubei Land Resources Vocational College,,否,否
湖北黄冈应急管理职业技术学院,Hubei Polytechnic Of Emergency Management,,否,否
湖北健康职业学院,Hubei Health Vocational College,,否,是
湖北交通职业技术学院,Hubei Communications Technical College,,否,否
湖北经济学院法商学院,Law & Business College of Hubei University of Economics,,是,否
湖北警官学院,Hubei University of Police,,否,否
湖北开放职业学院,Hubei Open Vocational University,,否,是
湖北科技职业学院,Hubei Science And Technology College,,否,否
湖北理工学院,Hubei Polytechnic University,,否,否
湖北美术学院,Hubei Institute of Fine Arts,,否,否
湖北汽车工业学院科技学院,Science and Technology College of Hubei University of Automotive Technology,,是,否
湖北青年职业学院,,,否,否
湖北轻工职业技术学院,Hubei Light Industry Technology Institute,,否,否
湖北三峡航空学院,Hubei Three Gorges Aviation Institute,,否,是
湖北三峡职业技术大学,Hubei Three Gorges Technical University,,否,否
湖北商贸学院,Hubei Business College,,否,是
湖北生态工程职业技术学院,Hubei Ecology Polytechnic College,,否,否
湖北生物科技职业学院,Hubei Vocational College Of Bio-Technology,,否,否
湖北师范大学文理学院,College of Arts and Science of Hubei Normal University,,是,否
湖北水利水电职业技术学院,Hubei Water Resource Technical College,,否,否
湖北体育职业学院,Hubei Sports Vocational College,,否,否
湖北铁道运输职业学院,Hubei Vocational College Of Railway Transportation,,否,否
湖北文理学院理工学院,Science and Technology College of Hubei University of Arts and Science,,是,否
湖北孝感美珈职业学院,Meiga Polytechnic Institute Of Hubei,,否,是
湖北医药学院药护学院,"Institute of Medicine and Nursing, Hubei University of Medicine",,是,否
湖北艺术职业学院,Hubei College Of The Art,,否,否
湖北幼儿师范高等专科学校,Hubei Preschool Teachers College,,否,否
湖北职业技术学院,Hubei Polytechnic Institute,,否,否
湖北中医药高等专科学校,Hubei College Of Chinese Medicine,,否,否
湖南安全技术职业学院,Hunan Vocational Insitute Of Safety Technology,,否,否
湖南财经工业职业技术学院,Hunan Financial & Industrial Vocational-Technical College,,否,否
湖南财政经济学院,Hunan University of Finance and Economics,,否,否
湖南城建职业技术学院,Hunan Urban Construction College,,否,否
湖南城市学院,Hunan City University,,否,否
湖南大众传媒职业技术学院,Hunan Mass Media Vocational And Technical College,,否,否
湖南电气职业技术学院,Hunan Electrical College Of Technology,,否,否
湖南电子科技职业学院,Hunan Vocational College Of Electronic And Technology,,否,是
湖南都市职业学院,Hunan Urban Professional College,,否,是
湖南高尔夫旅游职业学院,Hunan Golf And Tourism College,,否,是
湖南高速铁路职业技术学院,Hunan Technical College Of Railway High-Speed,,否,否
湖南工程学院,Hunan Institute of Engineering,,否,否
湖南工程学院应用技术学院,"Applied Technical School, Hunan Institute of Engineering",,是,否
湖南工程职业技术学院,Hunan Vocational College Of Engineering,,否,否
湖南工商职业学院,Hunan Technology And Commerca College,,否,是
湖南工学院,Hunan Institute of Technology,,否,否
湖南工业大学科技学院,College of Science and Technology HNUT,,是,否
湖南工业职业技术学院,Hunan Industry Polytechnic,,否,否
湖南工艺美术职业大学,Hunan Arts and Crafts Vocational University,,否,否
湖南国防工业职业技术学院,Hunan Defense Industry Polytechnic,,否,否
湖南化工职业技术大学,Hunan Chemical Technical University,,否,否
湖南环境生物职业技术学院,Hunan University Of Environment And Biology,,否,否
湖南机电职业技术学院,Hunan Mechanical Electrical Polytechnic,,否,否
湖南吉利汽车职业技术学院,Hunan Geely Automobile College,,否,是
湖南交通工程学院,Hunan Institute of Traffic Engineering,,否,是
湖南交通职业技术学院,Hunan Communication Engineering Polytechnic,,否,否
湖南警察学院,Hunan Police Academy,,否,否
湖南九嶷职业技术学院,Hunan Jiuyi Technical College,,否,否
湖南科技大学潇湘学院,"Xiaoxiang College, Hunan University of Science and Technology",,是,否
湖南科技学院,Hunan University of Science and Engineering,,否,否
湖南科技职业学院,Hunan Vocational College Of Technology,,否,否
湖南劳动人事职业学院,Hunan Labor And Human Resources Vocational College,,否,否
湖南理工职业技术学院,Hunan Vocational Institute Of Technicalogy,,否,否
湖南民族职业学院,Hunan Vocational College For Nationalities,,否,否
湖南农业大学东方科技学院,Orient Science & Technology College of Hunan Agriculture University,,是,否
湖南女子学院,Hunan Women's University,,否,否
湖南汽车工程职业大学,Hunan Automotive Engineering Vocational University,,否,否
湖南人文科技学院,"Hunan University of Humanities, Science and Technology",,否,否
湖南软件职业技术大学,Hunan Software Vocational and Technical University,,否,是
湖南三一工业职业技术学院,Hunan Trinity Industrial Vocational And Technical College,,否,是
湖南商务职业技术学院,Hunan Vocational College Of Commerce,,否,否
湖南涉外经济学院,Hunan International Economics University,,否,是
湖南生物机电职业技术学院,Hunan Biological Electromechanical Vocational Technical College,,否,否
湖南石油化工职业技术学院,Hunan Petrochemical Vocational And Technical College,,否,否
湖南食品药品职业学院,Hunan Food And Drug Vocational College,,否,否
湖南水利水电职业技术学院,Hunan Polytechnic Of Water Resources And Electric Power,,否,否
湖南税务高等专科学校,Tax Academy of STA (CHANGSHA),,否,否
湖南司法警官职业学院,Hunan Judicial Police Vocational College,,否,否
湖南体育职业学院,Hunan Sports Vocational College,,否,否
湖南铁道职业技术学院,Hunan Railway Professional Technology College,,否,否
湖南铁路科技职业技术学院,Hunan Vocational College Of Railway Technology,,否,否
湖南外国语职业学院,Hunan College Of Foreign Studies,,否,是
湖南外贸职业学院,Hunan International Business Vocational College,,否,否
湖南网络工程职业学院,Hunan Network Engineering Vocational College,,否,否
湖南文理学院,Hunan University of Arts and Science,,否,否
湖南现代物流职业技术学院,Hunan Modern Logistics College,,否,否
湖南信息学院,Hunan University of Information Technology,,否,是
湖南信息职业技术学院,Hunan College Of Information,,否,否
湖南医药学院,Hunan University of Medicine,,否,否
湖南艺术职业学院,Hunan Vocational College Of Art,,否,否
湖南应用技术学院,Hunan Applied Technology University,,否,是
湖南邮电职业技术学院,Hunan Post And Telecommunication College,,否,否
湖南有色金属职业技术学院,Hunan Nonferrous Metals Vocational And Technical College,,否,否
湖南幼儿师范高等专科学校,Hunan College For Preschool Education,,否,否
湖南中医药大学湘杏学院,Xiangxing College of Hunan University of TCM,,是,否
湖南中医药高等专科学校,Hunan Traditional Chinese Medical College,,否,否
湖州健康职业学院,Huzhou Health Vocational College,,否,是
湖州职业技术学院,Huzhou Vocational & Technical College,,否,否
华北科技学院,University of Emergency Management,,否,否
华北理工大学冀唐学院,Jitang College Of North China University of Science and Technology,,是,否
华北理工大学轻工学院,"Qing Gong college, North China University of Science and Technology",,是,否
华南农业大学珠江学院,"Zhujiang College, South China Agriculture University",,是,否
怀化工商职业技术学院,Huaihua Industrial and Commercial College,,否,否
怀化师范高等专科学校,Huaihua Normal College,,否,否
怀化学院,Huaihua University,,否,否
怀化职业技术学院,Huaihua Polytechnic College,,否,否
淮北理工学院,Huaibei Institute of Technology,,否,是
淮北职业技术学院,Huaibei Vocational And Technical College,,否,否
淮南联合大学,Huainan Union University,,否,否
淮南师范学院,Huainan Normal University,,否,否
淮南职业技术学院,Huainan Vocational Technical College,,否,否
黄冈科技职业学院,Huanggang College Of Science And Technology,,否,是
黄冈职业技术大学,Huanggang Polytechnic University,,否,否
黄河交通学院,Huanghe Jiaotong University,,否,是
