中文名,外文名,软科排名,独立学院,民办高校
北京工业大学耿丹学院,Gengdan Institute of Beijing University of Technology,,是,否
北京工业职业技术学院,Beijing Polytechnic College,,否,否
北京航空航天大学北海学院,Beihai College of Beihang University,,是,否
北京汇佳职业学院,Beijing Huijia Vocational College,,否,是
北京交通运输职业学院,Beijing Vocational Transportation College,,否,否
北京交通职业技术学院,Beijing Jiaotong Vocational Technical College,,否,否
北京金融科技学院,Beijing University of Financial Technology,,否,是
北京京北职业技术学院,Northern Beijing Vocational Education Institute,,否,否
北京经济管理职业学院,Beijing Institute of Economics and Management,,否,否
北京经济技术职业学院,Beijing Institute of Business and Technology,,否,是
北京经贸职业学院,Beijing Professional Business Institute,,否,是
北京科技大学天津学院,"Tianjin college, University of Science and Technology Beijing",,是,否
北京科技经营管理学院,Beijing Science Technology and Management College,,否,是
北京科技职业大学,Beijing Polytechnic University,,否,否
北京科技职业学院,"University For Science & Technology,Beijing",,否,是
北京劳动保障职业学院,Beijing Vocational College of Labour And Social Security,,否,否
北京理工大学珠海学院,"Beijing Institute of Technology, Zhuhai",,是,否
北京农业职业学院,Beijing Vocational College of Agriculture,,否,否
北京培黎职业学院,Beijing Bailie University,,否,是
北京青年政治学院,Beijing Youth Politics College,,否,否
北京师范大学珠海分校,"Beijing Normal University, Zhuhai",,是,否
北京体育职业学院,Beijing College Of Sports,,否,否
北京网络职业学院,Beijing College Of Internet Engineering,,否,是
北京卫生职业学院,Beijing Health Vacational College,,否,否
北京舞蹈学院,Beijing Dance Academy,,否,否
北京戏曲艺术职业学院,Beijing Opera and Arts College,,否,否
北京信息职业技术学院,Beijing information Technology College,,否,否
北京艺术传媒职业学院,Beijing Arts and Media Vocational College,,否,是
北京邮电大学世纪学院,"Century College, Beijing University of Posts and Telecommunications",,是,否
北京政法职业学院,Beijing College of Politics and Law,,否,否
北京中医药大学东方学院,Beijing University of Chinese Medicine Dongfang College,,是,否
毕节工业职业技术学院,Bijie Industry Polytechnic College,,否,否
毕节医学高等专科学校,Bijie Medical College,,否,否
毕节幼儿师范高等专科学校,Bijie Preschool Education College,,否,否
毕节职业技术学院,Bijie Vocational and Technical College,,否,否
滨州科技职业学院,Binzhou College Of Science and Technology,,否,是
滨州职业技术大学,Binzhou Polytechnic University,,否,否
亳州学院,Bozhou University,,否,否
亳州职业技术学院,Bozhou Vocational and Technical College,,否,否
博尔塔拉职业技术学院,Boertala Polytechnic,,否,否
渤海船舶职业学院,Bohai Shipbuilding Vocational College,,否,否
渤海理工职业学院,Bohai Polytechnic Vocational College,,否,是
渤海石油职业学院,Bohai Petroleum Vocational College,,否,否
沧州航空职业学院,Cangzhou Aeronautical Institute of Technology,,否,是
沧州交通学院,Cangzhou Jiaotong College,,否,是
沧州师范学院,Cangzhou Normal University,,否,否
沧州医学高等专科学校,Cangzhou Medical College,,否,否
沧州幼儿师范高等专科学校,Cangzhou Kindergarten Teachers College,,否,否
沧州职业技术学院,Cangzhou Technical College,,否,否
曹妃甸职业技术学院,Caofeidian College Of Technology,,否,是
昌吉学院,Changji University,,否,否
昌吉职业技术学院,Changji Vocational and Technical College,,否,否
常德科技职业技术学院,Changde College of Science and Technology,,否,否
常德学院,Changde College,,否,是
常德职业技术学院,Changde Vocational Technical College,,否,否
常州大学怀德学院,Changzhou University Huaide College,,是,否
常州纺织服装职业技术学院,Changzhou Vocational Institute Of Textile And Garment,,否,否
常州工程职业技术学院,Changzhou Vocational Institute Of Engineering,,否,否
常州工业职业技术学院,Changzhou Institute Of Industry Technology,,否,否
常州机电职业技术学院,Changzhou Vocational Institute Of Mechatronic Technology,,否,否
常州铁道职业技术学院,Changzhou Railway Vocational and Technical College,,否,否
常州信息职业技术大学,Changzhou University of Information Technology,,否,否
常州幼儿师范高等专科学校,Changzhou Early Childhood Education College,,否,否
巢湖学院,Chaohu University,,否,否
朝阳师范学院,Chaoyang Normal University,,否,否
潮汕职业技术学院,Chaoshan Vocational and Technical College,,否,是
郴州思科职业学院,Chenzhou Score Vocational College,,否,是
郴州职业技术学院,Chenzhou Vocational Technical College,,否,否
郴州智能科技职业学院,CZ Vocational College of Intelligent Science and Technology,,否,是
成都东软学院,Chengdu Neusoft University,,否,是
成都工贸职业技术学院,Chengdu Industry And Trade College,,否,否
成都工业学院,Chengdu Technological University,,否,否
成都工业职业技术学院,Chengdu Vocational& Technical College Of Industry,,否,否
成都轨道交通职业学院,Chengdu Institute of Rail Transit,,否,是
成都航空职业技术大学,Chengdu Aeronautic Polytechnic University,,否,否
成都锦城学院,Chengdu Jincheng College,,否,是
成都理工大学工程技术学院,The Engineering & Technical College of Chengdu University of Technology,,是,否
成都农业科技职业学院,Chengdu Agricultural College,,否,否
成都轻工职业技术大学,Chengdu Qinggong Polytechnic University,,否,否
成都外国语学院,Chengdu International Studies University,,否,是
成都文理学院,Chengdu College of Arts and Sciences,,否,是
成都艺术职业大学,Chengdu Vocational University of the Arts,,否,是
成都银杏酒店管理学院,Gingko College of Hospitality Management,,否,是
成都职业技术学院,Chengdu Polytechnic,,否,否
承德护理职业学院,Chengde Nursing Vocational College,,否,否
承德应用技术职业学院,Chengde College Of Applied Technology,,否,否
池州学院,Chizhou University,,否,否
池州职业技术学院,Chizhou Vocational And Technical College,,否,否
赤峰大学,Chifeng University,,否,否
赤峰工业职业技术学院,Chifeng Industrial Vocational Technical College,,否,否
赤峰应用技术职业学院,Chifeng Vocational Institute Of Applied Technology,,否,否
赤峰职业技术学院,Chifeng College Of Vocation And Technology,,否,是
重庆安防职业学院,Chongqing Vocational College of Security,,否,是
重庆安全技术职业学院,Chongqing Vocational Insitute Of Safety & Technology,,否,否
重庆财经学院,Chongqing Finance and Economics College,,否,是
重庆财经职业学院,Chongqing College Of Finance And Economics,,否,否
重庆城市管理职业大学,Chongqing City Management University,,否,否
重庆城市科技学院,Chongqing Metropolitan College of Science and Technology,,否,是
重庆城市职业学院,Chongqing City Vocational College,,否,否
重庆传媒职业学院,Chongqing Vocational College Of Media,,否,是
重庆第二师范学院,Chongqing University of Education,,否,否
重庆电力高等专科学校,Chongqing Electric Power College,,否,否
重庆电信职业学院,Chongqing Electronic Information College,,否,是
重庆电讯职业学院,Chongqing Telecommunication Polytechnic College,,否,是
重庆电子科技职业大学,Chongqing Polytechnic University of Electronic Technology,,否,否
重庆对外经贸学院,Chongqing College of International Business and Economics,,否,是
重庆工程学院,Chongqing Institute of Engineering,,否,是
重庆工程职业技术大学,Chongqing Polytechnic University of Engineering,,否,否
重庆工贸职业技术学院,Chongqing Industry & Trade Polytechnic,,否,否
重庆工商大学派斯学院,Pass College of Chongqing Technology & Business University,,是,否
重庆工商职业学院,Chongqing Technology And Business Institute,,否,否
重庆工信职业学院,Chongqing Industry And Information Vocational College,,否,否
重庆工业职业技术大学,Chongqing Industry Polytechnic University,,否,否
重庆公共运输职业学院,Chongqing Vocational College Of Public Transportation,,否,是
重庆海联职业技术学院,Chongqing Hailian Vocational Technical College,,否,是
重庆航天职业技术学院,Chongqing Aerospace Polytechnic College,,否,否
重庆护理职业学院,Chongqing Nursing Vocational College,,否,是
重庆化工职业学院,Chongqing Chemical Industry Vocational College,,否,否
重庆机电职业技术大学,Chongqing Vocational and Technical University of Mechatronics,,否,是
重庆建筑工程职业学院,Chongqing Jianzhu College,,否,否
重庆建筑科技职业学院,Chongqing College Of Architecture And Technology,,否,是
重庆健康职业学院,Chongqing Health College,,否,是
重庆交通职业学院,Chongqing Vocational College Of Transportation,,否,是
重庆经贸职业学院,Chongqing Vocational College Of Economics And Trade,,否,是
重庆科创职业学院,Chongqing Creation Vocational College,,否,是
重庆科技职业学院,Chongqing Vocational College Of Science And Technology,,否,是
重庆理工职业学院,Chongqing Polytechnic Institute,,否,是
重庆旅游职业学院,Chongqing Vocational Institute Of Tourism,,否,否
重庆能源职业学院,Chongqing Energy College,,否,是
重庆农业职业学院,Chongqing Vocational College of Agriculture,,否,否
重庆青年职业技术学院,Chongqing Youth Vocational & Technical College,,否,否
重庆轻工职业学院,Chongqing Vocational College Of Light Industry,,否,是
重庆人文科技学院,"Chongqing College of Humanities, Science & Technology",,否,是
重庆三峡医药高等专科学校,Chongqing Three Gorges Medical College,,否,否
重庆三峡职业学院,Chongqing Three Gorges Vocational College,,否,否
重庆商务职业学院,Chongqing Business Vocational College,,否,否
重庆数字产业职业技术学院,Chongqing Digital Industry Polytechnic College,,否,是
重庆水利电力职业技术学院,Chongqing Water Resources And Electeic Engineering College,,否,否
重庆外语外事学院,Chongqing Institute of Foreign Studies,,否,是
重庆文化艺术职业学院,Chongqing Vocational College Of Culture And Arts,,否,否
重庆五一职业技术学院,Chongqing Wuyi Polytechinc College,,否,否
重庆现代制造职业学院,Chongqing Vocational College of Modern Manufacturing,,否,是
重庆信息技术职业学院,Chongqing Information Technology College,,否,是
重庆医药高等专科学校,Chongqing Medical And Pharmaceutical College,,否,否
重庆移通学院,Chongqing College of Mobile Telecommunication,,否,是
重庆艺术工程职业学院,Chongqing Vocational College Of Art And Engineering,,否,是
重庆应用技术职业学院,Chongqing Vocational College Of Applied Technology,,否,是
重庆幼儿师范高等专科学校,Chongqing Preschool Education College,,否,否
重庆智能工程职业学院,Chongqing Vocational College Of Intelligent Engineering,,否,是
重庆中医药学院,Chongqing University of Chinese Medicine,,否,否
重庆资源与环境保护职业学院,Chongqing Recourses And Environmental Protection Of University,,否,是
崇左幼儿师范高等专科学校,Chongzuo Preschool Education College,,否,否
滁州城市职业学院,Chuzhou City Vocation Academy,,否,否
滁州学院,Chuzhou University,,否,否
滁州职业技术学院,Chuzhou Polytechnic,,否,否
楚雄师范学院,Chuxiong Normal University,,否,否
楚雄医药高等专科学校,Chuxiong Medical College,,否,否
川北幼儿师范高等专科学校,North Sichuan College Of Preschool Teacher Education,,否,否
川南幼儿师范高等专科学校,South Sichuan Preschool Education College,,否,否
达州职业技术学院,Dazhou Vocational And Technial College,,否,否
达州中医药职业学院,Dazhou Vocational College Of Chinese Medicine,,否,否
大理护理职业学院,Dali Nursing Vocational College,,否,否
大理农林职业技术学院,Dali Vocational And Technical College Of Agriculture And Forestry,,否,否
大连财经学院,Dalian University of Finance and Economics,,否,是
大连东软信息学院,Dalian Neusoft University of Information,,否,是
大连翻译职业学院,Dalian Translation And Interpretation College,,否,是
大连枫叶职业技术学院,Dalian Maple Leaf College Of Technology,,否,是
大连工业大学艺术与信息工程学院,"College of Arts & Information Engineering, Dalian Polytechnic University",,是,否
大连航运职业技术学院,Dalian Shipping College,,否,是
大连科技学院,Dalian University of Science and Technology,,否,是
大连理工大学城市学院,"City Institute, Dalian University of Technology",,是,否
大连汽车职业技术学院,Dalian Autovocational Technical Institute,,否,是
大连软件职业学院,Dalian Software Vocational University,,否,是
大连商务职业学院,Dalian Business Vocational College,,否,是
大连医科大学中山学院,Zhongshan College of Dalian Medical University,,是,否
大连艺术学院,Dalian Art College,,否,是
大连职业技术学院,Dalian Vocational Technical College,,否,否
大连装备制造职业技术学院,Dalian Equipment Technical College,,否,是
大庆师范学院,Daqing Normal University,,否,否
大庆医学高等专科学校,Daqing Medical College,,否,否
大庆职业学院,Daqing Vocational College,,否,否
大同煤炭职业技术学院,Datong Vocational And Technical College Of Coal,,否,否
大同师范高等专科学校,Datong Normal College,,否,否
大同数据科技职业学院,Datong Vocational College of Data Technology,,否,是
大湾区大学,Great Bay University,,否,否
大兴安岭职业学院,Vocational College Daxing'An Mountains,,否,否
德宏师范学院,Dehong Normal University,,否,否
德宏职业学院,Dehong Vocational College,,否,否
德阳城市轨道交通职业学院,Deyang College Of Urban Rail Transit,,否,是
德阳科贸职业学院,Deyang Vocational College Of Technology And Trade,,否,是
德阳农业科技职业学院,Deyang Agricultural College,,否,是
德州工程职业学院,Dezhou Engineering Vocational College,,否,是
德州科技职业学院,Technological Vocational College Of Dezhou,,否,是
德州职业技术学院,Dezhou Vocational And Technical College,,否,否
滇池学院,Dianchi College of Yunnan University,,否,是
滇西科技师范学院,West Yunnan University,,否,否
滇西应用技术大学,West Yunnan University of Applied Sciences,,否,否
电子科技大学成都学院,Chengdu college Of University Of Electronic Science And Technology of china,,是,否
电子科技大学中山学院,"University of Electronic Science and Technology of China, Zhongshan Institute",,是,否
定西师范高等专科学校,Dingxi Teachers College,,否,否
定西职业技术学院,Dingxi Vocational and Technical College,,否,否
东莞城市学院,Dongguan City University,,否,是
东莞职业技术学院,Dongguan Polytechnic,,否,否
东南大学成贤学院,Southeast University Chengxian College,,是,否
东营科技职业学院,Dongying Vocational College Of Science＆Technology,,否,否
东营职业学院,Dongying Vocational Institute,,否,否
鄂尔多斯生态环境职业学院,Ordos Vocational College Of Eco-Environment,,否,否
鄂尔多斯应用技术学院,Ordos Institute of Technology,,否,否
鄂尔多斯职业学院,Ordos Vocational College,,否,否
鄂州职业大学,Ezhou Vocational University,,否,否
恩施职业技术学院,Enshi Polytechnic,,否,否
